upper_to_baseline_coupling_ratio,spectral_radius,stable,lambda_1,relaxation_cycles_1,lambda_2,relaxation_cycles_2,lambda_3,relaxation_cycles_3,lambda_4,relaxation_cycles_4
0.1,0.3273944761372763,True,0.3273944761372763,0.8955842880956595,0.09726152747036797,0.4291197634864094,0.028917758385000318,0.28222283480905475,0.008606232246725232,0.21029306057175196
0.11077806662212888,0.32764039097808023,True,0.32764039097808023,0.8961869245596795,0.09748568318242944,0.4295440849608306,0.02903201289204482,0.28253726197054935,0.00865536727266958,0.2105451249372821
0.12271780044536826,0.3279134296391738,True,0.3279134296391738,0.8968564504147725,0.09773498660771174,0.430015849055624,0.029159318059858635,0.28288697121245376,0.008710222720098979,0.21082555857696014
0.13594440673458125,0.32821665975164405,True,0.32821665975164405,0.8976005283645424,0.09801238037472124,0.43054057145190083,0.02930125530364101,0.2832760943167349,0.00877151711673951,0.21113770398547171
0.15059658546149227,0.3285535136696954,True,0.3285535136696954,0.8984277549340082,0.09832117989628456,0.43112445894908447,0.029459619030723815,0.2837092878768681,0.008840071689048544,0.21148533308705422
0.16682798577318317,0.3289278360244296,True,0.3289278360244296,0.8993477874983473,0.09866512727239717,0.4317745078961838,0.02963645034490384,0.28419180972414904,0.008916827976260339,0.21187271094758778
0.18480881722417256,0.3293439384658568,True,0.3293439384658568,0.9003714917096637,0.09904845453933807,0.43249861944152607,0.029834077248435516,0.2847296088079944,0.009002869151077803,0.21230467098742445
0.2047276346681623,0.32980666291062244,True,0.32980666291062244,0.9015111133244013,0.0994759582416176,0.4333057351314317,0.030055162863803567,0.2853294314493946,0.00909944599001045,0.21278670426224414
0.22679331552660545,0.33032145490806264,True,0.33032145490806264,0.9027804793893699,0.0999530878045546,0.43420599728625264,0.030302763620143714,0.2859989476544105,0.009208008719028635,0.21332506607497517
0.251237250168598,0.33089444911137833,True,0.33089444911137833,0.9041952349700171,0.10048605083527638,0.4352109397498638,0.030580399908263767,0.2867469021809702,0.00933024634100889,0.2139269041009247
0.2783157683713741,0.3315325693187798,True,0.3315325693187798,0.9057731231896429,0.10108193932954575,0.4363337161400078,0.030892142454156633,0.2875832963834777,0.009468135569503587,0.2146004134343696
