compartment,decay_dwell_s,retention_factor,decay_rate_per_s,chamber_volume_uL
1,0.6,0.765316960016491,0.44577534024385645,5.0
2,0.6,0.2852790694207992,2.090478978096746,5.0
3,0.6,0.1063404467710261,3.7351826159496366,5.0
4,0.6,0.03963939815991621,5.379886253802526,5.0
5,0.6,0.014775957165796726,7.024589891655415,5.0
6,0.6,0.005507876514286647,8.669293529508304,5.0
7,0.6,0.0020531125906925033,10.313997167361196,5.0
8,0.6,0.0007653169600164909,11.958700805214086,5.0
