relative_parameter_bound,median_max_relative_spectral_change,p95_max_relative_spectral_change,maximum_max_relative_spectral_change,median_dominant_relative_change,p95_dominant_relative_change,maximum_dominant_relative_change
1.0000000000000000e-03,3.3410480964689822e-03,5.8395662644229688e-03,6.8311490670687801e-03,1.3594305401355168e-04,2.5222177000022863e-04,2.9474498174093995e-04
1.0000000000000000e-02,3.3762443524064406e-02,5.7382289707625288e-02,6.7822881841170315e-02,1.3224597055189195e-03,2.5430735180394922e-03,2.9061818200393228e-03
5.0000000000000003e-02,1.7025277195386779e-01,3.0018239853628120e-01,4.0458771324065990e-01,6.8088381471812466e-03,1.2743003369478477e-02,1.5204309334082428e-02
