component,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12,mode_13,mode_14,mode_15,mode_16,mode_17,mode_18,mode_19,mode_20,mode_21,mode_22,mode_23,mode_24
1,0.993926808310041819889949256612458207623844445545063720530523,-0.10931689727512679265937422463105185674898077343966822228914,0.0122689318798295747968611755724521641271482753828221215654166,-0.00140399612873251137497381390271538704327022667960276688526104,0.000163629479056548679527937138890466623208098812655973015711076,-0.000019393062902372368201952170177290801167905584487830952374764,0.00000233313722509888225679415268111874874860665933898008431678309,-0.000000284340549165603209588082922582120503906318922546318960996042,0.0000000350201924348121940123378472300870589646043651700677342175263,0.00000000434747334044725739151350321279192162393587090543767447917302,-0.000000000542406467524090168272047629831425218553549818616964247972634,-0.0000000000677904408900514238971161467855811883998879512389168770600949,0.00000000000845619118091404971466064502462442523943701901231144503246312,-0.00000000000104836074252952405635081229824475434334818037948636131694712,0.000000000000128526314917240671487381406526350156967555552663552920911142,-0.0000000000000154841897244382697385602749213216914874938103621340792161668,0.00000000000000181923757385816022463790720580118634590939471976080372737077,-0.000000000000000207610841853064005479860252543571214413040094929714172724027,0.0000000000000000233314266040262023258181424234660413612184650144472433561711,-0.00000000000000000263644872251241403820099077325883029615923831564349192778319,0.000000000000000000291050120364845648182160284279495181956957307212861297106958,-2.86792507213029034572478974178149878897505981680735224394098e-20,-2.25632320394106439892173689992053024770147338698582587626361e-21,-1.20519238267962782181013180759110793468053584844318972334e-22
2,0.109362808057048024064471752788938064585489524028492585801757,0.969609984420693984546597491774571242168164861583406407921369,-0.215515403764986208503029549558291753605564532056961372972268,0.0365059489839242483062952633696813338624547825102891149485304,-0.00559604591011412392474392325183029175504759335951651012438527,0.000818058752647860857187628781802380730191173254379373923678284,-0.000116597127860847762088326646528406346242097149249166235107455,0.0000163764849795758063093182749705409652826481005289110598579782,-0.00000227853328108195833352347674501257283086260607082908315147043,-0.000000314752221932549144606208878225544882256773653263900308394385,0.0000000431849943731177296596341512830780752954742939103744464506335,0.00000000587970586100877852015092108911648107880940772797265429271229,-0.000000000792853439438079750843715170816737589673283515485112029005516,0.000000000105578388171904402224304683637337876698276099545774210478396,-0.0000000000138277254597829054984618172597639250317007810728302779129328,0.0000000000017714522416375818715489955987826890694481317257633534196383,-0.000000000000220431809240383487681681200454872462967286611815718166002665,0.0000000000000265510275044547717920449557346145919607861886991643132786068,-0.00000000000000314047785779846347581222264136295547451522938337994166308139,0.000000000000000372783986954499022270769226881699926597171167620889304284281,-0.000000000000000043188653312305796517623003292428189718390235259233702703375,0.00000000000000000446442721054296242930463969696732998875084535139551487391668,0.000000000000000000368369237060128445685789667217986730081738521922523145081995,2.06300328697706182839916738844900728775449374423791484847164e-20
3,0.0121409633959611388988497554390957077988969914752163405726011,0.21579200717268946416095733390576478615287622022226141045964,0.921220151270517368387065798188176088371721794731102003852045,-0.314428894760104034863296349341109453383211854799874825536325,0.0717418046310176287932659023797045060963432451923146899508079,-0.0138339533691041855213780679304501637545141810596251078377254,0.00243663021272535759605915880179375424915085634896713245937193,-0.000406027192151805389340265933138306814300492646809330888263088,0.0000651839743168425213180850858318533064072161185507445614950429,0.0000101826776405025157652130594422034401278874612697787223037456,-0.00000155607775050329288513074416635634967757186217036756167005799,-0.000000233189497699097658529456704643581365509852782530316804143774,0.0000000342830000641212862862688067078389251068918081191319186099813,-0.00000000493881733051187010148686847880320584860982910664902818894883,0.000000000695272823098525570684620613559472462278388005342258149655898,-0.0000000000952181270413114553611602063586563564644875601370827935270891,0.0000000000126073343200053768281418327099027809007097267369684982156529,-0.00000000000160937684979946250809851963087695937301421570635434736801794,0.000000000000201089797756344287416112526292324418695492649019658135084066,-0.0000000000000251588857977234278125033859683660454425762700814247458575231,0.00000000000000306850448824708412262411807408304680016244684701742775104074,-0.000000000000000333735379266039238488017505530660215293041448307180060748517,-0.0000000000000000289613082856171311734795809301189174624638238113044074594665,-0.00000000000000000170507424544030904226709880512277803571839554959606224935651
4,0.00135979024150406566895685476306794425435376193732177190255297,0.0361928332393533536071199211055586573203092282629841371828195,0.315388030633312841385360236979061409367411948281224522791657,0.849732976808949227805762425219467476870819566298665043490764,-0.401906762839038254411466265847356722883919195951051841334777,0.116301338074328248702379501115778163620610690245322859337609,-0.0271282511711451562722551289014987052655778778368332130651317,0.00560017885861054100314122208595121959353028031083370232124968,-0.00106856320803018588294941250622420692596114019078458501552197,-0.000192883807661401760622721840273997877720556499730220548475828,0.0000333735612167251386528122717495182019668983499519655334834477,0.00000557639125534733003620168716844169132663984172984141771081886,-0.000000903234789149458173492839101371498142913425197528220412924564,0.000000141992098166164438595376397386834403893064267740709501237785,-0.0000000216428799382232879451878484696465192708600206225699976223886,0.00000000318835119608512404719335246658734507215276436267571060940141,-0.000000000451612063020195756598645072964911301960056457633630187315028,0.0000000000613865801464840731717617334029657714598942763882336251557492,-0.00000000000813655725568997783664580700081443375146790743490306543217919,0.0000000000010770347599646044480785142792064476637158508530062081255482,-0.00000000000013877669538172759310101620731132496658572551720111720354704,0.0000000000000159333590260723216916958415745684820720460710700433890258486,0.00000000000000145872609676857439054423906850823335988655157561108599195864,0.0000000000000000905480858400599562695930623463328845827396381368113409022505
5,0.000153636256698976805503056717856471431367630440967770383733455,0.0054382243620818298742716084969237250632973554044517700534878,0.0713982785413612203487231296836966871307833172686651388250142,0.404280579942498735494929317913183739303663283538608497238804,0.757027058450747981458729998912280338685440519880207879399533,-0.473998331964031211711674969730934295913879477596852858218117,0.167801333384904345478575340412841719037887111605502755636587,-0.0461130771645074169874835877952969865014112723801882618216748,0.0109342303799554192748231202990899483716818750318701839661245,0.0023509548145088956538239367340583400183044415858489884309801,-0.000470826728761540616946072740233228070235055204174962310251338,-0.0000891987385546216498398910860785567958903635617929408679376634,0.0000161289249430212454262041651545020080790601091494435565103163,-0.0000027964875190386012835802345567307401571534998514708917168339,0.000000465589146286899439932371438791219838745189392960627345214224,-0.0000000743283070899414016412181014872310006736642281761049933047699,0.0000000113342735052583974180689337244717538108919069337602569099542,-0.00000000164949519717038260366682455700614962495947079010159231662136,0.000000000233046905855202955299156342006186947251408454114275445139093,-0.0000000000327793361004255110813053016448317665241034186123972769412863,0.00000000000447992335635425095896669921663146022763015871529566083338467,-0.000000000000544997187658199576810444415523375804198200717352591696647215,-0.0000000000000528233843852038938060621246766392901552722060885512028785539,-0.00000000000000346840883436711716651138448054170586726688624546297700415778
6,0.0000175100358639794962622119341019069007765780752710141198029142,0.000772504221319411748338035190675491158432035126473450468524609,0.0135329778448631132558598766553518965510732705403587556747616,0.116453109076873255519679619247931099379591100931651146490624,0.478760300802926977509659660297944044621462937269790480684059,0.645925489418592985714022459789926187061891140559878626673766,-0.527168734503637757928756231515228612422058410459915624044993,0.223195770892324123554071739628935826435969949227826059772449,-0.0709191034370505028100504505102727958928199192016518509833999,-0.0190214254723943796445563830677501199494399534901588530567233,0.00454935890595774385619295655976029495205834256879840498341461,0.000999568735988045980832191230866266448205375911762475809249963,-0.000205257333087235974646875672371303364917876042303524621532139,0.0000397824504969961680318566109289992766511941461004033138444004,-0.00000731367566882025905678937694152425135764929002129928123455833,0.00000127667081290841445004497593070510659188326556365899244774721,-0.000000211168790794276242080560468923925994041393362857234930953242,0.0000000331155092978246715198611476456989085724533334859985440123819,-0.00000000501510134933356139770982770402993868327604905030113479548107,0.000000000753304252634663429648977717726426188850424568012922836199215,-0.00000000010969942848015072883875056510966566588176085224166372103017,0.0000000000142002904657556813282363355016823312706027768308127521914149,0.00000000000146286472685304713714156932826689162604147255047164797990627,0.000000000000101975992990571638836735066112166648897901212486027280300983
7,0.00000201289506022200985001682559197812683225189417796578690522787,0.000106246540304040272971119311060414060883096050757071274060525,0.00232521986394026262986417397279837266086219814106982335651534,0.0268145888062534845686258907024702043110926194951471125757761,0.169496097532333892592231630116035809197317854844875313204939,0.53543471138467715538816655467322048595431297563110040388395,0.520202530071557106615802976890473812875139814081056466088253,-0.558539980085902803722916025977873831926601103897584157998171,0.278879339110609830083730862839833930966962308848145268470705,0.101062077747514178425619788408639672301646941108065709859611,-0.0302916145300708474217090797710679187215014700346049855445542,-0.00797267552260031659154334250076741049507142090983757559455701,0.0019029931486237149809080104082208142737313668876846796883934,-0.000419612732698737035109308368709936288911316923957873939780364,0.0000863626147435704530503766371323543715110771433773555819824762,-0.0000166678090086194983374783176164234529895815178533715765231408,0.000003017951393034114482194907410983589539779099261146297540409,-0.000000513921819204157977471916008267482095847674456250047890353888,0.0000000839781574529259081207266498809284291975465659139633039827965,-0.0000000135492506193972775325353725257819161724890712471129417549165,0.00000000211348240854027302500022306054348666549455657211611489593041,-0.000000000292525613100806063375159287185870413955651335402393218942555,-0.0000000000321728711964523380888991921835051081552447135060338669274703,-0.00000000000239095421077625773353731542268268385141173642423136713034773
8,0.000000233381307529471370125585973838407056072836433273153227818767,0.0000143286350816886310729043352585011295727794605406905852125754,0.000375869293773506508915692446792545707395834113132039677429623,0.00543033819251646449061912190814873820165380130283471866178076,0.0462532404138577434539669721060442687938402942075990132432631,0.228113886398569991669448536006454922450225105583934933713188,0.571408364052490683698787795692478212649694522076003272965561,0.384541368860420438570467519407112378629983665015771948265159,-0.566145058352230150862436740217681531994772410188137530409194,-0.330857187667246660973426056313732051886027174594900084089325,0.135363277865307347716436744942028566915849670178928090250538,0.0448959584966244627920182780623337717081757506852401553483235,-0.0128827508599655369150875753440000421347670307151668625121411,0.00331044790250352960464233756244453901025243627783314260805832,-0.000776700174230443781042587493139499528280532449591981351800283,0.000168093562905110583730553912468264436668990745007733750886977,-0.0000336978064095751800295740706920491431165096599487357233697662,0.00000628976929981124273070999022526825230746766630062640686056631,-0.00000111777938217730989146699517669630194694183882355776796450492,0.000000195049787665898431029168692267674804654886564187299584681755,-0.0000000327905546520408570557063215927717432319439778837637901000155,0.00000000488000516361729966361262131112082429615866269309635640500597,0.000000000575964968612548846081053725283837170953235557938321931322907,0.000000000045847226427808230987768677658790933291673798189567015797222
9,0.0000000272893217760787216816138142240192957816721097655321111153593,0.00000190917027437395606399195861662734987213248770227305259600734,0.0000583474960896236529868707450435338903206563845705358318903885,0.00101257282237973574889292151018516373459480433475068543572132,0.01084147047896875831233631969925806438369363329751780451782,0.0725373939405176879951126696705768214009853292464445601946338,0.28936841312294436214416975662817474609491114526106044188062,0.584483765829303680244154450969197078039225010987004965255396,0.244429054245279509526214954698015850990100842016663016661124,0.549177416134882440800358846688142229205077443184651043172575,-0.374984242508684910191432674327137512562380810529599855097054,-0.171919750116214833533303866871796903704694956020812321116755,0.0625757736459918607727342716088466858315126985683449100393185,-0.0194109782882625056996086424821104618352488625382417475853692,0.00532291616400760654951441584688989815935492166039766819636038,-0.00131615202402837611261468590564404279831448732602908802050888,0.000296406536158131785387687142923481314368929223286292494107436,-0.0000613534616721998160847015468544326841346831368272088756239881,0.0000119730198124850523438862738900426618125554886869962617812678,-0.00000227832471211950490749203867375254757557775410018539102308936,0.000000415817657499847500282871566802316773881265080152519619018105,-0.0000000669779028600910340384822960784286913775763480354905625995491,-0.00000000853383666210525106394894452712151342395657437913879967693798,-0.000000000731561574817231406874625531459936934888309792106792641891319
10,0.00000000321790320020025949916835664585810024024450676002197672634565,0.000000252544102013882500109231567794480283712406889639300950606154,0.00000880798729582494173169525934117012811428398228993223767086451,0.000178406407764320057670831474993968727203210023177922891189386,0.00230012410431737633524008241424038940797546437166469428525124,0.0194221029819471111315725582662249570824000797850362438686951,0.105984565929788055573242880531636445154853705769356500491256,0.349855674071556043514021801113449522866807778179906364167385,0.57337542150705579456385415425156260117238900747348115030978,-0.105976358734731714277893295535120689302252899894655749078902,0.508213104797509661703528907426928751363782598234048484832941,0.407271114099110171166898450958906321110626005156016730399338,-0.208142086938869505433675993376719825598860670910743701163653,0.0825412149758800508583022902425561290838488407325130957883541,-0.0274541582853483354575405523576955735991874238182236229232812,0.00796037326398134793842279814199867625034608974487693526565307,-0.00205331945720332593540778932645683498076352266399224642342997,0.000478464862949512884834765956615056031779322482318360529479213,-0.000103778610117438688652561203191785995661839992444049421262323,0.0000217537635897550005226447195508750250839220347595752388643552,-0.00000434830038612263406580017230281150288920698489402271744419995,0.00000076399974001898818892278663641747517580719485198491756066757,0.000000105823091351348897998560991255634394061078480745800060452739,0.00000000983130414575410948417393209720356717105122727063966039071327
